,title,runtime,maturity,studio,Genre,avg_votes,votes,country
673,Danny Collins,107.0,18+,Bleecker Street Films,Drama,7.0,29512.0,USA
678,Pawn Sacrifice,115.0,13+,Bleecker Street,Drama,7.0,38809.0,USA
681,Bats,91.0,13+,Destination Films,Drama,3.9,9385.0,USA
682,The Elephant Man,123.0,7+,Paramount,Drama,8.1,214473.0,"USA, UK"
683,The Words,97.0,13+,CBS Films,Drama,7.0,73616.0,USA
701,Leave No Trace,108.0,7+,Bleecker Street,Drama,7.2,47559.0,"USA, Canada"
703,Parkland,93.0,13+,Exclusive Releasing,Drama,6.4,14903.0,USA
704,The Man Who Fell to Earth,139.0,18+,Rialto Pictures,Drama,6.7,23551.0,UK
710,Freeway,101.0,18+,Republic Pictures Home Video,Drama,6.8,25909.0,"USA, France"
715,The Way Back,133.0,13+,Newmarket Films LLC,Drama,6.7,23769.0,"USA, Canada"
717,The Ghost Writer,128.0,13+,Summit Entertainment,Drama,7.2,154364.0,"France, Germany, UK"
718,Fatal Attraction,119.0,18+,Paramount Pictures,Drama,6.9,74368.0,USA
725,Heartburn,109.0,18+,Paramount Pictures,Drama,6.1,9261.0,USA
726,The Hero,96.0,16+,The Orchard,Drama,6.5,7828.0,USA
735,"I Love You, Man",104.0,18+,Dreamworks/Paramount,Drama,7.0,191738.0,USA
736,Annapolis,103.0,13+,Walt Disney Pictures,Drama,5.9,20132.0,USA
740,The Man in the Moon,99.0,13+,MGM,Drama,7.4,15133.0,USA
743,Inside Llewyn Davis,104.0,18+,CBS Films,Drama,7.5,135904.0,"USA, UK, France"
745,The Gift,111.0,18+,Paramount Classics,Drama,7.0,135834.0,"USA, Australia, China"
747,Clue,96.0,7+,Paramount Pictures,Drama,7.3,78800.0,USA
748,Miss Potter,92.0,7+,MGM,Drama,6.9,27532.0,"UK, USA, Isle Of Man"
761,Beautiful Boy,0.0,18+,Anchor Bay Films,Drama,6.6,6279.0,"USA, Canada"
763,The Perfect Game,117.0,7+,Visio Entertainment,Drama,6.9,3284.0,"Canada, USA, Mexico"
768,Jungle,115.0,18+,Momentum Pictures,Drama,6.7,43892.0,"Australia, Colombia, UK"
770,Where Hope Grows,98.0,13+,Roadside Attractions,Drama,6.6,2912.0,USA
773,Chaplin,144.0,13+,Columbia TriStar,Drama,7.2,365.0,India
777,Rupture,100.0,18+,AMBI Media Group,Drama,4.8,6180.0,"Canada, USA"
778,Prodigy,80.0,18+,Studio Not Available,Drama,3.4,228.0,USA
783,Bliss,103.0,18+,Sony Pictures Entertainment,Drama,5.8,3155.0,USA
786,Extinction,114.0,18+,Vertical Entertainment,Drama,5.9,15640.0,"Spain, USA, Hungary, France"
789,Brain Dead,84.0,18+,Concorde/New Horizons Home Video,Drama,5.1,1059.0,USA
791,The Falling,90.0,18+,Cinedigm,Drama,5.4,5903.0,UK
796,Untraceable,100.0,18+,Sony/Screen Gems,Drama,6.2,46812.0,USA
799,The Happening,90.0,18+,20th Century Fox,Drama,5.0,193156.0,"USA, India"
809,Frankie & Alice,101.0,18+,Code Black Entertainment,Drama,6.5,5055.0,Canada
810,The Terminal,128.0,13+,DreamWorks SKG,Drama,7.4,396732.0,USA
817,A.I. Artificial Intelligence,145.0,13+,Dreamworks,Drama,7.2,286428.0,"USA, UK"
821,Nobody's Fool,110.0,18+,Paramount Home Video,Drama,4.8,6043.0,USA
831,Bad Samaritan,110.0,18+,Electric Entertainment,Drama,6.4,17912.0,USA
832,The Grudge,91.0,13+,Sony Pictures Entertainment,Drama,4.2,17156.0,"USA, Canada"
842,Out of Africa,161.0,7+,Universal Pictures,Drama,7.2,70818.0,"USA, UK"
851,Black Snake Moan,115.0,18+,Paramount Vantage,Drama,6.9,60390.0,USA
866,Blackbird,97.0,18+,RLJE/Image Entertainment,Drama,6.8,187.0,"USA, UK"
876,Rain Man,133.0,18+,MGM,Drama,8.0,465105.0,USA
885,All Good Things,100.0,18+,Magnolia Pictures,Drama,6.3,51943.0,USA
888,The Killer Shrews,68.0,16+,Legend Films,Drama,4.1,4349.0,USA
891,World Trade Center,129.0,13+,Paramount Pictures,Drama,5.9,76697.0,USA
892,Ida,82.0,13+,Music Box Films,Drama,7.4,51676.0,"Poland, Denmark, France, UK"
901,Searching for Bobby Fischer,109.0,7+,Paramount Home Video,Drama,7.4,28794.0,USA
