Genre,Runtime,Studio,movienane,year
Action,90 minutes,The Weinstein Co.,Fanboys,2008
Action,69 minutes,WARNER BROTHERS PICTURES,The Red Badge of Courage,1951
Action,74 minutes,MGM,The Pebble and the Penguin,1995
Action,119 minutes,20th Century Fox,Deadpool 2,2018
Action,99 minutes,Magnolia Pictures,Bai she chuan shuo (The Sorcerer and the White Snake),2013
Action,110 minutes,Unified Pictures,Maximum Impact,2018
Action,124 minutes,Paramount Pictures,An Officer and a Gentleman,1982
Action,109 minutes,Lionsgate Pictures,The Legend of Tarzan,2016
Action,129 minutes,Universal Pictures,Jurassic World: Fallen Kingdom,2018
Action,121 minutes,Anchor Bay Entertainment,The Divide,2012
Action,140 minutes,STX Entertainment,Den of Thieves,2018
Action,127 minutes,20th Century Fox Film Corporation,Taps,1981
Action,136 minutes,Sony Pictures Entertainment,The Mask of Zorro,1998
Action,115 minutes,MGM Home Entertainment,Gator,1976
Action,120 minutes,Warner Bros. Pictures,Constantine,2005
Action,120 minutes,Studio Not Available,The Sword of Doom,1966
Action,81 minutes,Buena Vista Distribution Compa,Pocahontas,1995
Action,93 minutes,Film District,Red Dawn,2012
Action,146 minutes,Walt Disney Pictures,War Horse,2011
Action,121 minutes,Columbia Pictures,Stealth,2005
Action,114 minutes,Sony Pictures Home Entertainment,Family Business,1989
Action,108 minutes,Orion Home Video,The Package,1989
Action,90 minutes,HBO Video,Kickboxer 2: The Road Back,1990
Action,111 minutes,Fox Atomic,Death Sentence,2007
Action,75 minutes,United Artists,Suddenly,1954
Action,89 minutes,Touchstone Pictures,Surrogates,2009
Action,99 minutes,Celestine Films,The Celestine Prophecy,2006
Action,113 minutes,Warner Home Video,The Wanderers,1979
Action,92 minutes,Emmett/Furla/Oasis Films,Arsenal,2017
Action,109 minutes,Walt Disney Pictures,Iron Man 3,2013
Action,118 minutes,Paramount Pictures,Star Trek IV - The Voyage Home,1986
Action,97 minutes,IFC Films,Dust to Glory,2005
Action,93 minutes,New Line Cinema,Final Destination 3,2006
Action,87 minutes,20th Century Fox,Everyone's Hero,2006
Action,100 minutes,Noor Pictures,Theeb,2015
Action,106 minutes,20th Century Fox,Behind Enemy Lines,2001
Action,87 minutes,Sony Pictures Home Entertainment,The Big Hit,1998
Action,99 minutes,Paramount Pictures,Nate and Hayes,1983
Action,87 minutes,20th Century Fox,X-Men: The Last Stand,2006
Action,113 minutes,Warner Home Video,American Flyers,1985
Action,117 minutes,Sony Pictures Home Entertainment,The Professionals,1966
Action,87 minutes,United Artists,The Iron Mask,1929
Action,101 minutes,Summit,Alex Cross,2012
Action,114 minutes,Warner Home Video,Bullitt,1968
Action,108 minutes,Universal,The Great Waldo Pepper,1975
Action,160 minutes,UTV,Rang De Basanti (Paint it Yellow),2006
Action,92 minutes,Trans World Entertainment,Maniac Cop,1988
Action,90 minutes,Paramount Pictures,G.I. Joe: Retaliation,2013
Action,148 minutes,IDP,Tae Guk Gi: The Brotherhood of War,2004
Action,144 minutes,United Artists,On Her Majesty's Secret Service,1969
Action,102 minutes,Warner Bros. Pictures,Chill Factor,1999
Action,92 minutes,Peach Arch Entertainment/Vitagraph Films,JCVD (Van Dammage),2008
Action,105 minutes,Anchor Bay Entertainment,Seeking Justice,2012
Action,92 minutes,Warner Home Video,Bloodsport,1988
Action,96 minutes,20th Century Fox,Joy Ride,2001
Action,89 minutes,STARZ MEDIA LLC.,Code Name: Geronimo,2012
Action,120 minutes,Paramount Pictures,Hustle,1975
Action,105 minutes,Paramount Pictures,Beverly Hills Cop,1984
Action,103 minutes,Paramount,Captain America,1990
Action,87 minutes,New Line Cinema,Shoot 'Em Up,2007
Action,101 minutes,Sony Pictures Home Entertainment,Striking Distance,1993
Action,82 minutes,Buena Vista,The Wild,2006
Action,95 minutes,Artisan Entertainment,Made,2001
Action,148 minutes,Paramount Vantage,Into the Wild,2007
Action,117 minutes,Warner Bros. Pictures,The Mosquito Coast,1986
Action,107 minutes,eOne Entertainment Distribution,Ink,2009
Action,95 minutes,"Saban Films, Lionsgate",The Assignment,2017
Action,75 minutes,Joseph Burstyn Incorporated,Little Fugitive,1953
Action,158 minutes,Columbia Pictures,The Guns of Navarone,1961
Action,93 minutes,A24 Films,Spring Breakers,2013
Action,131 minutes,Sony Pictures Home Entertainment,Bite the Bullet,1975
Action,105 minutes,Gramercy Pictures,"Lock, Stock and Two Smoking Barrels",1999
Action,116 minutes,Paramount Pictures,Victory,1981
Action,94 minutes,Metro-Goldwyn-Mayer Studios Inc.,Soldiers of Fortune,2012
Action,107 minutes,Warner Bros.,Contagion,2011
Action,83 minutes,Uncork'd Entertainment,The Dinosaur Project,2012
Action,94 minutes,Starmaker Entertainment,Avenging Angel,1985
Action,111 minutes,20th Century Fox,Firehouse Dog,2007
Action,75 minutes,Sony Pictures Home Entertainment,The Adventures of Milo and Otis,1986
Action,77 minutes,Warner Home Video,Green Lantern: First Flight,2009
Action,141 minutes,MGM,The Big Parade,1925
Action,120 minutes,Buena Vista Pictures,Eight Below,2006
Action,95 minutes,Vision Pictures,The Borrower,1989
Action,100 minutes,Warner Independent Pictures,Everything is Illuminated,2005
Action,113 minutes,Warner Bros. Pictures,Twister,1996
Action,116 minutes,Warner Bros.,Full Metal Jacket,1987
Action,107 minutes,Saban Films,Skiptrace,2016
Action,102 minutes,Paramount Pictures,Downhill Racer,1969
Action,116 minutes,Miramax Films,Zatichi (The Blind Swordsman: Zatoichi),2003
Action,2 minutes,Lions Gate Distribution,The Hard Word,2003
Action,125 minutes,Universal Pictures,The Jackal,1997
Action,117 minutes,Roadside Attractions,The Fall,2006
Action,98 minutes,Marro Films,Life on the Line,2016
Action,129 minutes,Warner Bros. Pictures/Village Roadshow,Sherlock Holmes,2009
Action,133 minutes,United Artists,Licence To Kill,1989
Action,109 minutes,Fox,"I, the Jury",1982
Action,97 minutes,Paramount Studios,Rise of the Guardians,2012
Action,97 minutes,Dada Films,Return,2012
Action,107 minutes,Orion Home Video,F/X 2: The Deadly Art of Illusion,1991
Action,128 minutes,Universal Pictures,Snow White and the Huntsman,2012
Action,98 minutes,MCA Universal Home Video,New Jersey Drive,1995
Action,114 minutes,Twentieth Century Fox Home Entertainment,The Last of the Mohicans,1992
Action,143 minutes,20th Century Fox,Cast Away,2000
Action,130 minutes,New Line Home Entertainment,Lost in Space,1998
Action,97 minutes,MGM Home Entertainment,Return of the Seven,1966
Action,105 minutes,Paramount Pictures,Star Trek: First Contact,1996
Action,96 minutes,Entertainment One Films,Black November,2015
Action,136 minutes,Well Go USA,The Thieves,2012
Action,122 minutes,Warner Home Video,The Sunchaser,1996
Action,86 minutes,Cannon Home Video,Masters of the Universe 2: Cyborg,1989
Action,99 minutes,Columbia Pictures,RV,2006
Action,98 minutes,Freestyle Releasing,Wild Target,2010
Action,88 minutes,20th Century Fox,Jumper,2008
Action,84 minutes,Rochelle Films,Ms. 45,2013
Action,96 minutes,New Line Cinema,Roadside Prophets,1992
Action,95 minutes,Anchor Bay Entertainment,Streets of Blood,2009
Action,86 minutes,Lionsgate Premiere,Acts of Violence,2018
Action,120 minutes,Sony Pictures,Gridiron Gang,2006
Action,125 minutes,MGM,The Private Life of Sherlock Holmes,1970
Action,127 minutes,Universal Pictures,Spy Game,2001
Action,90 minutes,Sony Pictures Releasing,Vantage Point,2008
Action,122 minutes,Samuel Goldwyn Films,The Odyssey (L'odysse),2016
Action,107 minutes,Criterion Collection,Hopscotch,1980
Action,115 minutes,Live Home Video,Lock Up,1989
Action,121 minutes,Twentieth Century Fox Home Entertainment,The Newton Boys,1998
Action,98 minutes,Sony Pictures Home Entertainment,Sniper,1993
Action,104 minutes,Magnolia Pictures,Outlaw,2007
Action,91 minutes,Saturday Morning TV,The Secret of the Sword,1985
Action,115 minutes,Universal,Into the Night,1985
Action,Runtime Not Available,Netflix,"Game Over, Man!",2018
Action,97 minutes,MGM Home Entertainment,Diggstown,1992
Action,90 minutes,Bryanston Distributing,Return of the Dragon (The Way of the Dragon),1974
Action,95 minutes,Gravitas Ventures,Bomb City,2018
Action,113 minutes,Fox International,Miss Bala,2012
Action,100 minutes,Magnet/Magnolia Pictures,Banlieue 13 - Ultimatum (District 13: Ultimatum),2009
Action,94 minutes,Paramount Pictures,Breakdown,1997
Action,129 minutes,Warner Bros. Pictures,The Perfect Storm,2000
Action,92 minutes,CBS Films,The Mechanic,2011
Action,111 minutes,Miramax Films,Kill Bill: Volume 1,2003
Action,89 minutes,GKIDS,The Rabbi's Cat,2012
Action,102 minutes,Twentieth Century Fox Home Entertainment,Game of Death,1978
Action,90 minutes,Paramount/Dreamworks,Puss in Boots,2011
Action,200 minutes,Studio Not Available,A Touch of Zen,1969
Action,79 minutes,Walt Disney Pictures,Inspector Gadget,1999
Action,85 minutes,WARNER BROTHERS PICTURES,Live Wire,1992
Action,86 minutes,The Weinstein Co.,DOA: Dead or Alive,2007
Action,94 minutes,Miramax,Sonatine,1993
Action,88 minutes,Paramount Studios/Dreamworks,Kung Fu Panda 2,2011
Action,124 minutes,Columbia Pictures,Air Force One,1997
Action,91 minutes,MGM,Coffy,1973
Action,118 minutes,Warner Bros. Pictures/Legendary Pictures,Kong: Skull Island,2017
Action,92 minutes,20th Century Fox,The Marine,2006
Action,183 minutes,Adlab Films,Ghajini,2008
Action,113 minutes,United Artists,The Big Red One,1980
Action,124 minutes,20th Century Fox,Die Hard 2,1990
Action,107 minutes,Universal Pictures,Big Miracle,2012
Action,96 minutes,Abramorama Entertainment,Innocence,2014
Action,88 minutes,Columbia Pictures,The Medallion,2003
Action,99 minutes,Phase 4 Films,Drones,2014
Action,132 minutes,United Artists,The Pride and the Passion,1957
Action,127 minutes,IMAX,Star Trek,2009
Action,80 minutes,Focus Features,9,2009
Action,92 minutes,RAF Industries,Hercules in New York,1975
Action,107 minutes,Sony Pictures Home Entertainment,Double Impact,1991
Action,100 minutes,Universal Pictures,Warcraft,2016
Action,86 minutes,WARNER BROTHERS PICTURES,Crossfire,1947
Action,155 minutes,Taylor-Laughlin Distribution,Billy Jack Goes to Washington,1977
Action,112 minutes,Paramount Pictures,Super 8,2011
Action,121 minutes,Warner Home Video,The Rookie,1990
Action,90 minutes,Columbia Pictures,Premium Rush,2012
Action,104 minutes,TriStar Pictures,Extreme Prejudice,1987
Action,135 minutes,20th Century Fox,Logan,2017
Action,115 minutes,Universal Pictures,American Made,2017
Action,114 minutes,WARNER BROTHERS PICTURES,White Heat,1949
Action,70 minutes,Warner Home Video,Son of Kong,1933
Action,66 minutes,WARNER BROTHERS PICTURES,Justice League Dark,2017
Action,103 minutes,Samuel Goldwyn Films,The Secret of Roan Inish,1995
Action,124 minutes,Paramount Pictures,Sahara,2005
Action,88 minutes,Momentum Pictures,Lesbian Vampire Killers,2009
Action,133 minutes,Walt Disney Pictures,Rogue One: A Star Wars Story,2016
Action,71 minutes,Twentieth Century Fox Home Entertainment,Once Upon a Forest,1993
Action,88 minutes,WARNER BROTHERS PICTURES,Teenage Mutant Ninja Turtles II - The Secret of the Ooze,1991
Action,133 minutes,MGM Pictures,Die Another Day,2002
Action,131 minutes,DreamWorks SKG,The Last Castle,2001
Action,121 minutes,Warner Bros. Pictures,In the Heart of the Sea,2015
Action,131 minutes,Sony Pictures Home Entertainment,First Knight,1995
Action,98 minutes,Radius/The Weinstein Co.,Wu xia (Dragon),2012
Action,126 minutes,Paramount Pictures,El Dorado,1967
Action,109 minutes,20th Century Fox,Enemy Mine,1985
Action,125 minutes,MCA Universal Home Video,Battlestar Galactica,1978
Action,123 minutes,20th Century Fox,Prometheus,2012
Action,121 minutes,Walt Disney Pictures,Guardians of the Galaxy,2014
Action,98 minutes,Palm Pictures,Fulltime Killer,2003
Action,101 minutes,Paramount Home Video,The Court Jester,1956
Action,93 minutes,Freestyle Releasing,Shadowboxer,2005
Action,110 minutes,MGM Home Entertainment,Runaway Train,1985
Action,85 minutes,Shout! Factory,Thunder and the House of Magic,2014
Action,122 minutes,MCA Universal Home Video,Earthquake,1974
Action,100 minutes,Buena Vista Pictures,A Low Down Dirty Shame,1994
Action,108 minutes,IFC Films,Vengeance (Fuk sau),2010
Action,92 minutes,Universal Pictures,Land of the Dead,2005
Action,105 minutes,Sony Pictures,Men in Black III,2012
Action,135 minutes,Sony Pictures,Stalingrad,2014
Action,91 minutes,Gaumont,La Chvre (The Goat) (Knock on Wood),1981
Action,116 minutes,Radius-TWC,14 Blades,2014
Action,133 minutes,Universal Studios,Blackhat,2015
Action,97 minutes,Magnolia Pictures,Centurion,2010
Action,95 minutes,Hannover House,Racing Dreams,2010
Action,98 minutes,Universal Pictures,The Fast and the Furious: Tokyo Drift,2006
Action,107 minutes,Sony Pictures Home Entertainment,Ishtar,1987
Action,102 minutes,Lionsgate,Punisher: War Zone,2008
Action,88 minutes,Anchor Bay Entertainment,Race with the Devil,1975
Action,91 minutes,Music Box Films,Heavy Trip (Hevi reissu),2018
Action,90 minutes,Sony Pictures Home Entertainment,Dragon Wars,2007
Action,87 minutes,Sony Pictures Home Entertainment,The Replacement Killers,1998
Action,105 minutes,Sony Pictures Entertainment,The Quick and the Dead,1995
Action,93 minutes,Buena Vista Distribution Company,Return from Witch Mountain,1978
Action,108 minutes,Universal,The Air Up There,1994
Action,111 minutes,Summit Entertainment,The Hitman's Bodyguard,2017
Action,75 minutes,Universal Pictures,Murders in the Rue Morgue,1932
Action,92 minutes,Brainstorm Media,The Kill Hole,2012
Action,106 minutes,Monterey Media,The Red Baron (Der rote Baron),2008
Action,103 minutes,20th Century Fox,Eragon,2006
Action,104 minutes,MGM Home Entertainment,Tank Girl,1995
Action,100 minutes,20th Century Fox,Fantastic Four,2015
Action,124 minutes,Lionsgate Films,Saban's Power Rangers,2017
Action,100 minutes,Event Film,Postal,2007
Action,109 minutes,Star Overseas,Journey to the West: The Demons Strike Back,2017
Action,100 minutes,FilmDistrict,Drive,2011
Action,75 minutes,WARNER BROTHERS PICTURES,Superman vs. The Elite,2012
Action,139 minutes,Columbia Pictures,Cromwell,1970
Action,105 minutes,Lionsgate/Roadside Attractions,All Is Lost,2013
Action,108 minutes,Universal Pictures,The Bourne Supremacy,2004
Action,101 minutes,MCA Universal Home Video,Smokey and the Bandit II,1980
Action,85 minutes,Samuel Goldwyn Films,Kaena: The Prophecy,2004
Action,123 minutes,Netflix,What Happened to Monday,2017
Action,110 minutes,Sony Pictures,Into the Blue,2005
Action,110 minutes,Buena Vista Internationa,Shanghai Noon,2000
Action,93 minutes,Sony Pictures Home Entertainment,Hard Times,1975
Action,88 minutes,20th Century Fox,Conquest Of The Planet Of The Apes,1972
Action,127 minutes,Universal Pictures,47 Ronin,2013
Action,92 minutes,WARNER BROTHERS PICTURES,Cottage Country,2013
Action,90 minutes,StudioCanal,The Wild Life,2016
Action,97 minutes,American Cinema,Charlie Chan and the Curse of the Dragon Queen,1981
Action,103 minutes,Warner Home Video,Spies Like Us,1985
Action,95 minutes,Lionsgate,Southie,1998
Action,115 minutes,Paramount Pictures,Raiders of the Lost Ark,1981
Action,110 minutes,Sony Pictures,22 Jump Street,2014
Action,112 minutes,Sony Pictures Classics,The City of Lost Children (La Cit des Enfants Perdus),1995
Action,101 minutes,Tai Seng,"Jackie Chan's Project A2 ('A' gai wak juk jap) (Project A, Part II)",1987
Action,79 minutes,Sony Pictures Home Entertainment,The Wild One,1954
Action,110 minutes,Paramount Pictures,Top Gun,1986
Action,96 minutes,Drafthouse Films,I Declare War,2013
Action,81 minutes,AnimEigo Inc.,Lone Wolf and Cub - Baby Cart at the River Styx (Kozure kami: Sanzu no kawa no ubaguruma) (Shogun Assassin),1972
Action,112 minutes,Sony Pictures Home Entertainment,The Net,1995
Action,84 minutes,Sony Pictures Home Entertainment,Simon Sez,1999
Action,121 minutes,Sony Pictures,Inferno,2016
Action,118 minutes,Phase 4 Films,Fifty Dead Men Walking,2008
Action,115 minutes,20th Century Fox,"I, Robot",2004
Action,99 minutes,Promark Entertainment,Persons Unknown,1996
Action,117 minutes,Buena Vista Pictures,Gone in 60 Seconds (Gone in Sixty Seconds),2000
Action,74 minutes,DC Entertainment,Batman and Harley Quinn,2017
Action,180 minutes,CJ Entertainment America,The Tower,2012
Action,101 minutes,Twentieth Century Fox,Flaming Star,1960
Action,119 minutes,FUNimation Entertainment,The Boy And The Beast (Bakemono No Ko),2016
Action,107 minutes,Paramount Pictures,Lemony Snicket's A Series of Unfortunate Events,2004
Action,94 minutes,Jules Verne Adventures,Passage to Mars,2016
Action,115 minutes,MGM,Mogambo,1953
Action,103 minutes,Warner Bros.,The Salton Sea,2002
Action,90 minutes,MGM Home Entertainment,Mata Hari,1932
Action,78 minutes,New World Pictures,Death Race 2000,1975
Action,89 minutes,Odeon Films,All Hat,2007
Action,93 minutes,Storm King Productions,Vampires: Los Muertos,2002
Action,105 minutes,Sony Pictures Home Entertainment,Masterminds,1997
Action,140 minutes,Warner Bros. Pictures,Ready Player One,2018
Action,119 minutes,20th Century Fox,The Beach,2000
Action,133 minutes,Asian Crush,Welcome to Dongmakgol,2005
Action,98 minutes,MGM,Blood and Chocolate,2007
Action,89 minutes,Weinstein Company,Spy Kids: All the Time in the World in 4D,2011
Action,85 minutes,Anchor Bay Entertainment,Jack Brooks: Monster Slayer,2007
Action,99 minutes,MGM,The Mysterious Lady,1928
Action,93 minutes,Relativity Media,Haywire,2012
Action,103 minutes,Buena Vista Pictures,The 13th Warrior,1999
Action,89 minutes,Momentum Pictures,The Gracefield Incident,2017
Action,85 minutes,Universal Pictures,The Pirates Who Don't Do Anything: A VeggieTales Movie,2008
Action,87 minutes,SC Films International,Bullet,2014
Action,145 minutes,20th Century Fox,Independence Day,1996
Action,109 minutes,Gravitas,Jungle Book,1942
Action,142 minutes,Warner Bros. Pictures,Superman,1978
Action,139 minutes,Contender Entertainment Group,The 9th Company (9 rota),2005
Action,100 minutes,Screen Gems,Legion,2010
Action,142 minutes,Walt Disney Pictures,Marvel's The Avengers,2012
Action,90 minutes,Vestron Video,Shanghai Surprise,1986
Action,124 minutes,Columbia Pictures,Vertical Limit,2000
Action,93 minutes,Paramount Pictures,Overdrive,2017
Action,111 minutes,Media Home Entertainment,Kansas,1988
Action,90 minutes,Sony Pictures Home Entertainment,Motorama,1992
Action,88 minutes,Miramax,Russell Mulcahy's Tale of the Mummy,1999
Action,110 minutes,Criterion Collection,Yojimbo,1961
Action,104 minutes,Anchor Bay Entertainment,Wanted: Dead or Alive,1987
Action,125 minutes,Buena Vista,Alive,1993
Action,112 minutes,MGM Home Entertainment,Betrayed,1988
Action,134 minutes,Columbia Pictures,The Eagle Has Landed,1976
Action,112 minutes,WARNER BROTHERS PICTURES,Shaft in Africa,1973
Action,84 minutes,Paramount,Cloverfield,2008
Action,110 minutes,Relativity Media,Immortals,2011
Action,109 minutes,Warner Home Video,Impulse,1990
Action,90 minutes,Lorimar Productions,The Toxic Avenger: Part II,1989
Action,92 minutes,Occupant Entertainment,The Hallow (The Woods),2015
Action,91 minutes,Apollo Media,The Hunter's Prayer,2017
Action,155 minutes,Warner Bros. Pictures,Robin Hood: Prince of Thieves,1991
Action,101 minutes,Warner Home Video,Next of Kin,1989
Action,88 minutes,Studio Not Available,Homeward Bound II - Lost in San Francisco,1996
Action,110 minutes,Warner Bros. Pictures,Ocean's 8,2018
Action,90 minutes,American International Pictures,Reptilicus,1963
Action,105 minutes,Warner Bros. Pictures,Collateral Damage,2002
Action,100 minutes,Open Road Films,Homefront,2013
Action,109 minutes,Sony Pictures Home Entertainment,Alaska,1996
Action,98 minutes,Buena Vista,The Shaggy Dog,2006
Action,90 minutes,Screen Media Ventures,Young Ones,2014
Action,92 minutes,Paramount Pictures,Posse,1975
Action,93 minutes,Lionsgate,The Wraith,1986
Action,102 minutes,Paramount Pictures,Star Trek: Insurrection,1998
Action,95 minutes,20th Century Fox,Black Knight,2001
Action,110 minutes,Columbia Pictures,The Tailor of Panama,2001
Action,145 minutes,MGM,Skyfall,2012
Action,96 minutes,WARNER BROTHERS PICTURES,On Dangerous Ground,1952
,22 minutes,Disney Pixar,Toy Story of Terror!,2013
,73 minutes,Warner Bros. Pictures,Pokemon 3: The Movie,2001
,88 minutes,20th Century Fox Television,Futurama: Bender's Big Score,2007
,97 minutes,Regent Releasing,Maze,2001
,74 minutes,DC Entertainment,Batman and Harley Quinn,2017
,72 minutes,WARNER BROTHERS PICTURES,Son of Batman,2014
,89 minutes,20th Century Fox,Robots,2005
,88 minutes,nWave Pictures,A Turtle's Tale: Sammy's Adventures,2011
,63 minutes,Walt Disney Productions,Dumbo,1941
,84 minutes,Universal Pictures Home Entertainment,Woody Woodpecker,2017
,85 minutes,Anderson Digital,War of the Worlds: Goliath,2014
,72 minutes,Studio Not Available,Oliver & Company,1988
,92 minutes,GKIDS,Mia et le Migou (Mia and the Migoo),2011
,85 minutes,Warner Bros. Pictures,Rainbow Brite and the Star Stealer,1985
,101 minutes,Focus Features,Coraline,2009
,90 minutes,Warner Bros. Pictures,The Lego Batman Movie,2017
,100 minutes,20th Century Fox,Ice Age: Collision Course,2016
,5 minutes,Studio Not Available,Maestro,2005
,87 minutes,Buena Vista,The Lion King,1994
,97 minutes,Focus Features,The Boxtrolls,2014
,83 minutes,Buena Vista Pictures,Robin Hood,1973
,66 minutes,Studio Not Available,Minuscule: Valley of the Lost Ants (Minuscule - La valle des fourmis perdues),2014
,110 minutes,Eleven Arts,Fullmetal Alchemist: The Sacred Star of Milos,2012
,106 minutes,Columbia Pictures,Final Fantasy: The Spirits Within,2001
,88 minutes,Indican Pictures,The Trouble with Terkel,2017
,92 minutes,20th Century Fox,Monkeybone,2001
,78 minutes,Walt Disney Productions,Mulan II,2003
,86 minutes,Paramount Pictures,Sherlock Gnomes,2018
,92 minutes,Dreamworks,Shrek the Third,2007
,76 minutes,Columbia Tristar Pictures,Adam Sandler's Eight Crazy Nights,2002
,102 minutes,Warner Home Video,The Animatrix,2003
,75 minutes,Columbia Pictures,The Trumpet of the Swan,2001
,110 minutes,Disney/Pixar,Ratatouille,2007
,95 minutes,Walt Disney Pictures,The Princess and the Frog,2009
,82 minutes,Buena Vista,The Wild,2006
,83 minutes,Sony Pictures,Open Season,2006
,90 minutes,StudioCanal,The Wild Life,2016
,Runtime Not Available,Columbia Pictures,Peter Rabbit,2018
,40 minutes,Warner Bros. Pictures,Island Of Lemurs: Madagascar,2014
,75 minutes,Buena Vista Worldwide Home Entertainment,The Brave Little Toaster Goes to Mars,1998
,96 minutes,Sony Pictures Home Entertainment,American Pop,1981
,88 minutes,Sony Pictures Home Entertainment,Heavy Metal ,2000
,89 minutes,Freestyle Releasing,Delgo,2008
,85 minutes,Shout! Factory,Thunder and the House of Magic,2014
,124 minutes,Streamline Pictures,Akira,1988
,118 minutes,Disney/Pixar,Incredibles 2,2018
,84 minutes,Jensen Farley Pictures,The Last Unicorn,1982
,53 minutes,Artisan Entertainment,Rudolph the Red-Nosed Reindeer,1964
,73 minutes,Lions Gate Films,I Married a Strange Person,1998
,75 minutes,WARNER BROTHERS PICTURES,Superman Unbound,2013
,86 minutes,GKIDS,Kahlil Gibran's The Prophet,2015
,48 minutes,WARNER BROTHERS PICTURES,Jack Frost,1979
,112 minutes,Walt Disney Pictures/PIXAR,Cars 2,2011
,75 minutes,Warner Home Video,Superman: Doomsday,2007
,75 minutes,Warner Bros. Pictures,Cats Don't Dance,1997
,88 minutes,Universal Pictures,Curious George,2006
,84 minutes,Sony Pictures Home Entertainment,Zambezia,2013
,83 minutes,Walt Disney Pictures,Snow White and the Seven Dwarfs,1937
,82 minutes,Artisan Entertainment,Jonah - A VeggieTales Movie,2002
,108 minutes,Illumination Entertainment,Sing,2016
,122 minutes,Paramount Pictures,Monster Trucks,2017
,86 minutes,Eureka Entertainment Ltd,The Adventures of Mark Twain,1985
,96 minutes,Buena Vista,Meet the Robinsons,2007
,126 minutes,Sony Pictures Entertainment,Steamboy,2005
,96 minutes,Viva Pictures,Monster Family,2018
,66 minutes,Buena Vista Pictures,The Return of Jafar,1994
,114 minutes,Paramount Pictures,Beowulf,2007
,111 minutes,Destination Films,Tekkonkinkreet (Tekkon kinkurto),2007
,80 minutes,Paramount Pictures,"South Park: Bigger, Longer & Uncut",1999
,95 minutes,Walt Disney Pictures,Monsters University,2013
,90 minutes,Sony Pictures Classics,Waltz with Bashir,2008
,22 minutes,Disney/Pixar,Toy Story That Time Forgot,2014
,87 minutes,20th Century Fox,Fantastic Mr. Fox,2009
,114 minutes,GKIDS,Summer Wars (Sama Wozu),2010
,65 minutes,Warner Bros.,Batman: Year One,2011
,80 minutes,Gaumont,Santa's Apprentice (L'apprenti Pere Noel),2010
,81 minutes,Film Council,Christmas Carol - The Movie,2001
,116 minutes,Walt Disney Productions,Fantasia,1940
,78 minutes,GKIDS,Zarafa,2015
,82 minutes,MCA Universal Home Video,The Jetsons,1990
,86 minutes,20th Century Fox,Dr. Seuss' Horton Hears a Who!,2008
,100 minutes,Sony Pictures Home Entertainment,Resident Evil: Damnation,2012
,100 minutes,Walt Disney Pictures,Finding Nemo,2003
,78 minutes,Regent Releasing,$9.99 ,2008
,89 minutes,Variance Films,An Oversimplification Of Her Beauty,2013
,102 minutes,GKIDS,Mary and The Witch's Flower,2018
,88 minutes,Paramount Studios/Dreamworks,Kung Fu Panda 2,2011
,79 minutes,Weinstein Company,Doogal,2006
,75 minutes,GKIDS,My Entire High School Sinking Into the Sea,2017
,72 minutes,Fox,FernGully - The Last Rainforest,1992
,91 minutes,20th Century Fox,Alvin and the Chipmunks,2007
,97 minutes,Paramount Pictures,Charlotte's Web,2006
,96 minutes,Paramount Studios/DWA,Megamind,2010
,98 minutes,Warner Bros. Pictures,Star Wars: The Clone Wars,2008
,86 minutes,Open Road Films,The Nut Job 2: Nutty by Nature,2017
,93 minutes,GKIDS,Song Of The Sea,2014
,96 minutes,Walt Disney Pictures,Bolt,2008
,86 minutes,Film i Vst,Metropia,2010
,85 minutes,Orchard Pictures,The Toe Tactic,2009
,90 minutes,Assemblage Entertainment,Blinky Bill The Movie,2016
,77 minutes,Walt Disney Productions,Doug's 1st Movie,1999
,77 minutes,Walt Disney,Peter Pan,1953
,73 minutes,deRochemont Films,Animal Farm,1954
,76 minutes,Warner Home Video,Batman Gotham Knight,2008
,Runtime Not Available,Sony Pictures Animation,The Star,2017
,92 minutes,Walt Disney Pictures,Secret of the Wings,2012
,99 minutes,Go Fish Pictures,Ghost in the Shell 2 - Innocence,2004
,81 minutes,GKIDS,Boy and the World (O Menino e o Mundo),2015
,78 minutes,Buena Vista Pictures,The Jungle Book,1967
,87 minutes,Paramount Pictures,The Rugrats Movie,1998
,88 minutes,Shinchosha Company,Grave of the Fireflies (Hotaru no haka),1988
,25 minutes,Paramount Pictures,"It's the Great Pumpkin, Charlie Brown",1966
,75 minutes,Walt Disney Home Entertainment,Kronk's New Groove,2005
,72 minutes,WARNER BROTHERS PICTURES,Batman: Assault on Arkham,2014
,87 minutes,Warner Bros. Pictures,Storks,2016
,103 minutes,Walt Disney Pictures,Moana,2016
,95 minutes,Sony Pictures Classics,Persepolis,2007
,89 minutes,Sony Pictures,Hotel Transylvania 2,2015
,91 minutes,Walt Disney Feature Animation,The Hunchback of Notre Dame,1996
,83 minutes,New Yorker Films,My Dog Tulip,2010
,77 minutes,Silver Screen Partners IV,The Rescuers Down Under,1990
,Runtime Not Available,Netflix,White Fang (Croc-Blanc),2018
,94 minutes,20th Century Fox/Emerging Pictures,Ice Age: Dawn of the Dinosaurs (Ice Age 3),2009
,92 minutes,DIRECTV and Viva Pictures,Son of Bigfoot,2018
,86 minutes,Open Road Films,The Nut Job,2014
,40 minutes,Warner Bros. Pictures,Deep Sea 3D,2006
,100 minutes,Warner Independent Pictures,A Scanner Darkly,2006
